,acceptedName,className,classGroup,classGroupNum,redlistCategory,redlistGroup,code,ias,weight
40,Acacia celastrifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
41,Acacia celsa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
42,Acacia chartacea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
43,Acacia cincinnata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
44,Acacia citrinoviridis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
45,Acacia cockertoniana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
46,Acacia colei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,8.1.1,,4
47,Acacia concurrens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
48,Acacia conferta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
49,Acacia confluens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,3.2,,1
50,Acacia conspersa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
51,Acacia convallium,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
52,Acacia coolgardiensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
53,Acacia coriacea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
54,Acacia cowleana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
55,Acacia craspedocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
56,Acacia crassa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
57,Acacia crassicarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,7.1.3,,1
58,Acacia cretata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
59,Acacia curvinervia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
60,Acacia cuspidifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
61,Acacia cuthbertsonii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
62,Acacia deanei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
63,Acacia debilis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
64,Acacia delibrata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
65,Acacia demissa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
66,Acacia dentifera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
67,Acacia dietrichiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
68,Acacia difficilis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
69,Acacia disparrima,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
70,Acacia distans,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
71,Acacia donaldsonii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
72,Acacia dunnii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
73,Acacia duriuscula,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
74,Acacia effusifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
75,Acacia elachantha,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
76,Acacia elongata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
77,Acacia enervia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
78,Acacia ephedroides,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
79,Acacia eremaea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
80,Acacia eriopoda,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
81,Acacia estrophiolata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
82,Acacia exigua,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
83,Acacia falcata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
84,Acacia fauntleroyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
85,Acacia flavescens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
86,Acacia frigescens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
87,Acacia fuscaneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
88,Acacia galeata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
89,Acacia gardneri,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
90,Acacia gibbosa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
91,Acacia glaucocaesia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
92,Acacia gonocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
93,Acacia gonoclada,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
94,Acacia gracilenta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,7.1.1,,1
95,Acacia grasbyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
96,Acacia hamersleyensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
97,Acacia hammondii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
98,Acacia harpophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
99,Acacia hemignosta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
100,Acacia hemsleyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
101,Acacia implexa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
102,Acacia inaequilatera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
103,Acacia incurvaneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
104,Acacia intorta,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
105,Acacia ixodes,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
106,Acacia jamesiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
107,Acacia jasperensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
108,Acacia jensenii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
109,Acacia jibberdingensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
110,Acacia julifera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
111,Acacia kempeana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
112,Acacia lacertensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
113,Acacia lamprocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
114,Acacia lasiocalyx,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
115,Acacia latescens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
116,Acacia latifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
117,Acacia latior,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
118,Acacia leiocalyx,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
119,Acacia leiophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
120,Acacia leptocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
121,Acacia leptoloba,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
122,Acacia leptopetala,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
123,Acacia leucoclada,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
124,Acacia ligulata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
125,Acacia ligustrina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
126,Acacia longipedunculata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,7.1.3,,1
127,Acacia longiphyllodinea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
128,Acacia longispicata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
129,Acacia longispinea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
130,Acacia longissima,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
131,Acacia loroloba,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
132,Acacia lunata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
133,Acacia macradenia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
134,Acacia mangium,MAGNOLIOPSIDA,Plant,3,Least Concern,2,8.1.1,,2
135,Acacia marramamba,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
136,Acacia masliniana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
137,Acacia merinthophora,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
138,Acacia microbotrya,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
139,Acacia microsperma,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
140,Acacia midgleyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
141,Acacia mimula,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
142,Acacia minniritchi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
143,Acacia minyura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
144,Acacia mitchellii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,2.1.3,,1
145,Acacia monticola,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
146,Acacia mountfordiae,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
147,Acacia mucronata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
148,Acacia muelleriana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
149,Acacia multisiliqua,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
150,Acacia murrayana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
151,Acacia nanodealbata,MAGNOLIOPSIDA,Plant,3,Endangered,5,5.3.1,,6
152,Acacia neurocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
153,Acacia nyssophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
154,Acacia obtusifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
155,Acacia oldfieldii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
156,Acacia oncinocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
157,Acacia oraria,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
158,Acacia orthocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
159,Acacia pachyacra,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
160,Acacia palustris,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
161,Acacia papyrocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
162,Acacia paraneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
163,Acacia pellita,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
164,Acacia penninervis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
165,Acacia pentadenia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
166,Acacia phasmoides,MAGNOLIOPSIDA,Plant,3,Endangered,5,8.1.1,,12
167,Acacia phlebophylla,MAGNOLIOPSIDA,Plant,3,Critically Endangered,6,8.2.1,,8
168,Acacia platycarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
169,Acacia plectocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
170,Acacia polifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
171,Acacia polybotrya,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
172,Acacia polystachya,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
173,Acacia praelongata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
174,Acacia prainii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
175,Acacia pruinocarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
176,Acacia pteraneura,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
177,Acacia pubirhachis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,7.1.1,,1
178,Acacia pustula,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
179,Acacia pyrifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
180,Acacia quadrimarginea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
181,Acacia quornensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,2.3.3,,1
182,Acacia ramulosa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
183,Acacia redolens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
184,Acacia resinicostata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,2.1.3,,1
185,Acacia resinimarginea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
186,Acacia resinistipulea,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
187,Acacia retinervis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
188,Acacia rhodoxylon,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
189,Acacia rostellifera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
190,Acacia rothii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
191,Acacia roycei,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
192,Acacia salicina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
193,Acacia saligna,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
194,Acacia saxatilis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
195,Acacia scirpifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
196,Acacia sclerosperma,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
197,Acacia scopulorum,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
198,Acacia semilunata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
199,Acacia sericoflora,MAGNOLIOPSIDA,Plant,3,Least Concern,2,8.1.1,,2
200,Acacia sibilans,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
201,Acacia sibina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
202,Acacia sibirica,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
203,Acacia signata,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
204,Acacia simsii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
205,Acacia sparsiflora,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
206,Acacia spectabilis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
207,Acacia spirorbis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
208,Acacia steedmanii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
209,Acacia stereophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
210,Acacia stictophylla,MAGNOLIOPSIDA,Plant,3,Endangered,5,8.1.2,Oryctolagus cuniculus,12
211,Acacia stipuligera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
212,Acacia striatifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
213,Acacia strongylophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
214,Acacia subtessarogona,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
215,Acacia synchronicia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
216,Acacia tenuispica,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
217,Acacia tephrina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
218,Acacia terminalis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
219,Acacia tetragonophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
220,Acacia thomsonii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
221,Acacia torulosa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
222,Acacia trachycarpa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
223,Acacia triptycha,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
224,Acacia tropica,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
225,Acacia tumida,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
226,Acacia tysonii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
227,Acacia ulicifolia,MAGNOLIOPSIDA,Plant,3,Least Concern,2,2.1.3,,1
228,Acacia uncifera,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
229,Acacia verricula,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
230,Acacia wanyu,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
231,Acacia wattsiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
232,Acacia xanthina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
233,Acacia xiphophylla,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
234,Acacia yorkrakinensis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
235,Acanthaeschna victoria,INSECTA,Invertebrate,1,Endangered,5,7.2.8,,6
236,Acanthagenys rufogularis,AVES,Bird,9,Least Concern,2,NA,NA,1
237,Acanthiza apicalis,AVES,Bird,9,Least Concern,2,NA,NA,1
238,Acanthiza chrysorrhoa,AVES,Bird,9,Least Concern,2,NA,NA,1
239,Acanthiza ewingii,AVES,Bird,9,Least Concern,2,NA,NA,1
240,Acanthiza inornata,AVES,Bird,9,Least Concern,2,11.1,,1
241,Acanthiza iredalei,AVES,Bird,9,Least Concern,2,NA,NA,1
242,Acanthiza katherina,AVES,Bird,9,Least Concern,2,11.1,,1
243,Acanthiza lineata,AVES,Bird,9,Least Concern,2,11.1,,1
244,Acanthiza nana,AVES,Bird,9,Least Concern,2,NA,NA,1
245,Acanthiza pusilla,AVES,Bird,9,Least Concern,2,11.1,,1
246,Acanthiza reguloides,AVES,Bird,9,Least Concern,2,NA,NA,1
247,Acanthiza robustirostris,AVES,Bird,9,Least Concern,2,NA,NA,1
248,Acanthiza uropygialis,AVES,Bird,9,Least Concern,2,NA,NA,1
249,Acanthogobius flavimanus,ACTINOPTERYGII,Fish,2,Least Concern,2,NA,NA,1
250,Acanthophis antarcticus,REPTILIA,Reptile,4,Least Concern,2,8.1.2,Vulpes vulpes,2
251,Acanthophis hawkei,REPTILIA,Reptile,4,Vulnerable,4,8.1.2,Rhinella marina,8
252,Acanthophis praelongus,REPTILIA,Reptile,4,Least Concern,2,8.1.2,Rhinella marina,2
253,Acanthophis pyrrhus,REPTILIA,Reptile,4,Least Concern,2,8.4.2,Rhinella marina,1
254,Acanthophis rugosus,REPTILIA,Reptile,4,Least Concern,2,8.1.2,Rhinella marina,2
255,Acanthophis wellsi,REPTILIA,Reptile,4,Least Concern,2,NA,NA,1
256,Acanthorhynchus superciliosus,AVES,Bird,9,Least Concern,2,11.1,,1
257,Acanthorhynchus tenuirostris,AVES,Bird,9,Least Concern,2,11.1,,1
258,Acanthornis magna,AVES,Bird,9,Least Concern,2,NA,NA,1
259,Acanthus ilicifolius,MAGNOLIOPSIDA,Plant,3,Least Concern,2,6.3,,1
260,Accipiter cirrocephalus,AVES,Bird,9,Least Concern,2,NA,NA,1
261,Accipiter fasciatus,AVES,Bird,9,Least Concern,2,NA,NA,1
262,Accipiter novaehollandiae,AVES,Bird,9,Least Concern,2,NA,NA,1
263,Acentrogobius nebulosus,ACTINOPTERYGII,Fish,2,Least Concern,2,NA,NA,1
264,Aceratium megalospermum,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
265,Ackama paniculosa,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
266,Acradenia euodiiformis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
267,Acridotheres tristis,AVES,Bird,9,Least Concern,2,NA,NA,1
268,Acrobates pygmaeus,MAMMALIA,Mammal,6,Least Concern,2,NA,NA,1
269,Acrocephalus australis,AVES,Bird,9,Least Concern,2,NA,NA,1
270,Acrochordus arafurae,REPTILIA,Reptile,4,Least Concern,2,5.4.1,,1
271,Acronychia acidula,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
272,Acronychia acronychioides,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
273,Acronychia laevis,MAGNOLIOPSIDA,Plant,3,Least Concern,2,5.3.1,,1
274,Acronychia octandra,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
275,Acronychia parviflora,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
276,Acronychia pubescens,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
277,Acronychia wilcoxiana,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
278,Acrophylla enceladus,INSECTA,Invertebrate,1,Least Concern,2,11.5,,1
279,Acrophylla thoon,INSECTA,Invertebrate,1,Data Deficient,1,8.1.2,Andropogon gayanus,4
280,Acrophylla titan,INSECTA,Invertebrate,1,Least Concern,2,11.5,,1
281,Acrophylla wuelfingi,INSECTA,Invertebrate,1,Least Concern,2,7.1.1,,1
282,Actephila lindleyi,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
283,Actitis hypoleucos,AVES,Bird,9,Least Concern,2,6.1,,1
284,Adansonia gregorii,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
285,Adelotus brevis,AMPHIBIA,Amphibian,7,Near Threatened,3,8.1.1,,4
286,Adenanthera abrosperma,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
287,Adenanthera pavonina,MAGNOLIOPSIDA,Plant,3,Least Concern,2,NA,NA,1
288,Adenanthos acanthophyllus,MAGNOLIOPSIDA,Plant,3,Endangered,5,8.1.2,Capra hircus,12
289,Adenanthos apiculatus,MAGNOLIOPSIDA,Plant,3,Near Threatened,3,8.1.2,Phytophthora cinnamomi,4
290,Adenanthos argyreus,MAGNOLIOPSIDA,Plant,3,Endangered,5,8.1.1,,12
291,Adenanthos barbiger,MAGNOLIOPSIDA,Plant,3,Near Threatened,3,8.1.2,Phytophthora cinnamomi,4
292,Adenanthos cuneatus,MAGNOLIOPSIDA,Plant,3,Least Concern,2,8.1.1,,2
293,Adenanthos cygnorum,MAGNOLIOPSIDA,Plant,3,Vulnerable,4,8.1.1,,8
